point,encoder,dataset,kind,C,n_test,imbalance,method,acc,f1,ece,aurc,param
codet5p/devign,codet5p,devign,frozen_probe,2,2000,1.18,logit_adj,0.5595,0.5565,0.0257,0.378,tau=0.75
codet5p/devign,codet5p,devign,frozen_probe,2,2000,1.18,knn,0.584,0.5804,0.1946,0.3638,lambda=0.0
codet5p/devign,codet5p,devign,frozen_probe,2,2000,1.18,gate,0.584,0.5804,0.1946,0.3638,"c=0.8,lambda=0.0"
codet5p/devign,codet5p,devign,frozen_probe,2,2000,1.18,temp_gate,0.584,0.5804,0.1946,0.3638,"T=1.33,c=0.8,lambda=0.0"
codebert/poj104,codebert,poj104,frozen_probe,104,2000,7.6,base,0.8845,0.8818,0.204,0.02,
codebert/poj104,codebert,poj104,frozen_probe,104,2000,7.6,temp,0.8845,0.8818,0.0254,0.0172,T=0.546
codebert/poj104,codebert,poj104,frozen_probe,104,2000,7.6,logit_adj,0.8845,0.8818,0.204,0.02,tau=0.0
codebert/poj104,codebert,poj104,frozen_probe,104,2000,7.6,knn,0.8845,0.8818,0.204,0.02,lambda=1.0
codebert/poj104,codebert,poj104,frozen_probe,104,2000,7.6,gate,0.876,0.8729,0.1959,0.021,"c=0.6,lambda=0.8"
codebert/poj104,codebert,poj104,frozen_probe,104,2000,7.6,temp_gate,0.8845,0.8818,0.0251,0.0171,"T=0.55,c=0.5,lambda=0.8"
graphcodebert/poj104,graphcodebert,poj104,frozen_probe,104,2000,7.6,base,0.9235,0.9211,0.1798,0.0099,
graphcodebert/poj104,graphcodebert,poj104,frozen_probe,104,2000,7.6,temp,0.9235,0.9211,0.0181,0.0082,T=0.538
graphcodebert/poj104,graphcodebert,poj104,frozen_probe,104,2000,7.6,logit_adj,0.9235,0.9211,0.1798,0.0099,tau=0.0
graphcodebert/poj104,graphcodebert,poj104,frozen_probe,104,2000,7.6,knn,0.9235,0.9211,0.1798,0.0099,lambda=1.0
graphcodebert/poj104,graphcodebert,poj104,frozen_probe,104,2000,7.6,gate,0.92,0.9175,0.1747,0.0099,"c=0.5,lambda=0.8"
graphcodebert/poj104,graphcodebert,poj104,frozen_probe,104,2000,7.6,temp_gate,0.925,0.9226,0.0221,0.0081,"T=0.54,c=0.6,lambda=0.8"
unixcoder/poj104,unixcoder,poj104,frozen_probe,104,2000,7.6,base,0.9215,0.9199,0.0269,0.0093,
unixcoder/poj104,unixcoder,poj104,frozen_probe,104,2000,7.6,temp,0.9215,0.9199,0.0145,0.0094,T=1.323
unixcoder/poj104,unixcoder,poj104,frozen_probe,104,2000,7.6,logit_adj,0.9215,0.9199,0.0269,0.0093,tau=0.0
unixcoder/poj104,unixcoder,poj104,frozen_probe,104,2000,7.6,knn,0.9265,0.9249,0.028,0.0093,lambda=0.8
unixcoder/poj104,unixcoder,poj104,frozen_probe,104,2000,7.6,gate,0.9255,0.924,0.0252,0.0092,"c=0.5,lambda=0.8"
unixcoder/poj104,unixcoder,poj104,frozen_probe,104,2000,7.6,temp_gate,0.926,0.9245,0.0149,0.0092,"T=1.32,c=0.5,lambda=0.8"
codet5p/poj104,codet5p,poj104,frozen_probe,104,2000,7.6,base,0.7195,0.7117,0.5143,0.1074,
codet5p/poj104,codet5p,poj104,frozen_probe,104,2000,7.6,temp,0.7195,0.7117,0.0249,0.0906,T=0.323
codet5p/poj104,codet5p,poj104,frozen_probe,104,2000,7.6,logit_adj,0.7275,0.7181,0.5271,0.1058,tau=1.25
codet5p/poj104,codet5p,poj104,frozen_probe,104,2000,7.6,knn,0.7575,0.7513,0.5081,0.0825,lambda=0.9
codet5p/poj104,codet5p,poj104,frozen_probe,104,2000,7.6,gate,0.737,0.733,0.4424,0.0838,"c=0.5,lambda=0.8"
codet5p/poj104,codet5p,poj104,frozen_probe,104,2000,7.6,temp_gate,0.76,0.7529,0.0603,0.0765,"T=0.32,c=0.7,lambda=0.6"
codebert/reveal,codebert,reveal,frozen_probe,2,2000,8.9,base,0.894,0.515,0.0183,0.0409,
codebert/reveal,codebert,reveal,frozen_probe,2,2000,8.9,temp,0.894,0.515,0.02,0.0409,T=0.992
codebert/reveal,codebert,reveal,frozen_probe,2,2000,8.9,logit_adj,0.8675,0.6192,0.0521,0.0484,tau=0.5
codebert/reveal,codebert,reveal,frozen_probe,2,2000,8.9,knn,0.894,0.515,0.0183,0.0409,lambda=1.0
codebert/reveal,codebert,reveal,frozen_probe,2,2000,8.9,gate,0.894,0.515,0.0183,0.0409,"c=0.5,lambda=0.0"
codebert/reveal,codebert,reveal,frozen_probe,2,2000,8.9,temp_gate,0.894,0.515,0.02,0.0409,"T=0.99,c=0.5,lambda=0.0"
graphcodebert/reveal,graphcodebert,reveal,frozen_probe,2,2000,8.9,base,0.9,0.5567,0.0276,0.0393,
graphcodebert/reveal,graphcodebert,reveal,frozen_probe,2,2000,8.9,temp,0.9,0.5567,0.0235,0.0393,T=1.026
graphcodebert/reveal,graphcodebert,reveal,frozen_probe,2,2000,8.9,logit_adj,0.894,0.6157,0.0215,0.0402,tau=0.25
graphcodebert/reveal,graphcodebert,reveal,frozen_probe,2,2000,8.9,knn,0.9,0.5567,0.0276,0.0393,lambda=1.0
graphcodebert/reveal,graphcodebert,reveal,frozen_probe,2,2000,8.9,gate,0.9,0.5567,0.0276,0.0393,"c=0.5,lambda=0.0"
graphcodebert/reveal,graphcodebert,reveal,frozen_probe,2,2000,8.9,temp_gate,0.9,0.5567,0.0235,0.0393,"T=1.03,c=0.5,lambda=0.0"
